ENV-0490	ENV	ENV-29	空氣品質嚴重惡化警告發布及緊急防制辦法	第2條	民國115年3月18日	空品惡化-警告等級	1	空氣品質惡化警告依污染程度區分為幾類別幾等級？各類別之等級細分為何？	預警（初級、中級）及嚴重惡化（輕度、中度、重度）二類別五等級	預警（初級、中級、高級）及嚴重惡化（輕度、重度）二類別五等級	預警（初級）及嚴重惡化（輕度、中度、重度、極重度）二類別五等級	預警（輕度、中度）及嚴重惡化（初級、中級、重度）二類別五等級	Air quality deterioration warnings are divided into how many categories and levels, and how are they subdivided?	Alert (primary, intermediate) and severe deterioration (mild, moderate, heavy): two categories, five levels	Alert (primary, intermediate, advanced) and severe deterioration (mild, heavy): two categories, five levels	Alert (primary only) and severe deterioration (mild, moderate, heavy, extreme): two categories, five levels	Alert (mild, moderate) and severe deterioration (primary, intermediate, heavy): two categories, five levels	a	第2條：空氣品質惡化警告等級依污染程度區分為預警（細分初級、中級）及嚴重惡化（細分輕度、中度或重度）二類別五等級，依懸浮微粒、細懸浮微粒、二氧化硫、二氧化氮、一氧化碳及臭氧之濃度條件依附件一判定。所稱空氣品質嚴重惡化，包含任一空氣污染物濃度達附件一所定輕度、中度或重度嚴重惡化等級者。	Article 2 sets two categories and five levels, judged against the pollutant concentrations in Annex 1.	draft	9		
ENV-2853	ENV	ENV-62	資源回收再利用法施行細則	第12條	民國92年8月27日	資源回收-補正改善	2	本細則所稱「完成補正或改善」，其意義為何？	指完成補正或改善行為，並自行拍照存證後於期限內函報處分機關備查，即為完成改善	指完成補正或改善行為，並檢齊證明文件報請處分機關查驗，經處分機關查驗符合規定者	指完成補正或改善行為，並於期限屆滿前以口頭方式向處分機關承辦人員陳報完成情形	指完成補正或改善行為，並取得公（協）會或專業技師出具之改善完成證明書即為完成	What does completion of correction or improvement mean under these Rules?	Completing the act, keeping photographic evidence, and filing it with the disposition agency for recordation within the deadline	Completing the act, submitting the full supporting documents for inspection, and being found compliant by the disposition agency	Completing the act, and orally reporting the completion to the handling officer of the disposition agency before the deadline	Completing the act, and obtaining a certificate of completed improvement issued by an association or a licensed engineer	b	第12條：前條（第11條）所稱完成補正或改善，指完成補正或改善行為，並檢齊證明文件報請處分機關查驗，經處分機關查驗符合規定者。故僅完成改善行為而未經查驗合格，尚不構成完成補正或改善，第14條至第17條之按日連續處罰起算與停止均以此為判準。	Article 12 requires completion plus documents submitted for inspection and a finding of compliance.	draft	9		
ENV-2857	ENV	ENV-62	資源回收再利用法施行細則	第16條	民國92年8月27日	資源回收-按日處罰	3	依規定暫停按日連續處罰者，經查驗認定仍未完成補正或改善時，應如何處理？	自暫停日起免除全部連續處罰	自暫停日起繼續按日連續處罰	自查驗日起重新開始按日處罰	自次月一日起重新起算按日處罰	What applies where inspection shows the correction is still incomplete after the daily penalty was suspended?	The daily continuous penalty is waived from the suspension date	The daily continuous penalty resumes from the date of suspension	The daily continuous penalty restarts from the date of inspection	The daily penalty is recalculated from the first of the next month	b	第16條：依前條（第15條）規定暫停按日連續處罰者，經檢齊完成補正或改善之證明文件送達處分機關後，經查驗認定仍未完成補正或改善者，自暫停日起繼續按日連續處罰。第17條第1款則規定經查驗認定完成者，以暫停日為停止日。	Article 16 resumes the daily penalty from the suspension date.	draft	9		
ENV-2858	ENV	ENV-62	資源回收再利用法施行細則	第17條	民國92年8月27日	資源回收-按日處罰	3	按日連續處罰之停止日應如何認定？	經查驗認定補正或改善完成者以次月一日為停止日；經命歇業者自處分書送達後三十日停止	經查驗認定補正或改善完成者以暫停日為停止日；經命停工停業或歇業者自該日起停止處罰	經查驗認定補正或改善完成者以查驗日為停止日；經命停工停業或歇業者仍應繼續按日處罰	經查驗認定補正或改善完成者以文件送達日為停止日；經命停工停業者自復業日起停止處罰	How is the stop date of a daily continuous penalty determined?	Where inspection confirms completion, the first of the next month is the stop date; where closure is ordered, it stops thirty days after service	Where inspection confirms completion, the suspension date is the stop date; where work or business is ordered to cease, the penalty stops from that day	Where inspection confirms completion, the inspection date is the stop date; where work or business is ordered to cease, the daily penalty still continues	Where inspection confirms completion, the date of service is the stop date; where work is ordered to cease, the penalty stops from the resumption day	b	第17條第1款：檢齊完成補正或改善之證明文件送達處分機關後，經查驗認定補正或改善完成者，以暫停日為停止日。第2款：經處分機關依法命其停工、停業或歇業者，自其停工、停業或歇業日起，停止按日連續處罰。第18條並規定復工復業前應報經處分機關審查核准。	Article 17 makes the suspension date the stop date on confirmed completion, and stops the penalty from an ordered cessation.	draft	9		
ENV-2860	ENV	ENV-62	資源回收再利用法施行細則	第19條	民國92年8月27日	資源回收-施行	1	本細則之施行日期規定為何？	本細則自發布後六個月施行	本細則自發布日施行	本細則自發布後一年起施行	本細則自發布後三個月施行	When do these Enforcement Rules take effect?	These Enforcement Rules take effect six months after promulgation	These Enforcement Rules take effect on the date of promulgation	These Enforcement Rules take effect one year after their promulgation	These Enforcement Rules take effect three months after promulgation	b	第19條：本細則自發布日施行。本細則修正日期為民國九十二年八月二十七日，其後未再修正，故現行條文即自該發布日起施行。	Article 19 provides that the Rules take effect on the date of promulgation.	draft	9		
ENV-4833	ENV	ENV-95	公害糾紛處理法施行細則	第1條	民國93年11月24日	公害糾紛-總則	1	《公害糾紛處理法施行細則》之訂定法源依據為何？	依環境影響評估法第五十條之規定訂定之	依公害糾紛處理法第三十條第二項規定訂定	依公害糾紛處理法第五十條規定訂定之	依公害糾紛處理法第四十三條規定訂定之	Under which provision are these Enforcement Rules enacted?	Enacted under Article 50 of the Environmental Impact Assessment Act	Enacted under Article 30, paragraph 2 of the Dispute Resolution Act	Enacted under Article 50 of the Public Nuisance Dispute Resolution Act	Enacted under Article 43 of the Public Nuisance Dispute Resolution Act	c	第1條：本細則依公害糾紛處理法（本法）第五十條規定訂定之。本法第四十三條為調處及裁決費用之規定（第13條第6款、第35條均與其相關），第三十條第二項則為環境保護協定之規定（第28條、第29條據以規範）。	Article 1 cites Article 50 of the Public Nuisance Dispute Resolution Act.	draft	9		
ENV-4834	ENV	ENV-95	公害糾紛處理法施行細則	第2條	民國93年11月24日	公害糾紛-當事人	1	公害糾紛調處或裁決程序中，當事人之稱謂如何區分？	申請調處或裁決者為聲請人，他造為利害關係人，僅聲請人為程序當事人	申請調處或裁決者為申請人，他造為相對人，申請人及相對人均為當事人	申請調處或裁決者為原告，他造為被告，原告及被告均稱為程序關係人	申請調處或裁決者為陳情人，他造為受陳情人，兩造均稱為公害關係人	How are the parties designated in a public nuisance mediation or ruling procedure?	The applicant is the petitioner, the other side is an interested person, and only the petitioner is a party	The applicant is the party applying, the other side is the respondent, and both are the parties to the dispute	The applicant is the plaintiff, the other side is the defendant, and both are called procedural participants	The applicant is the complainant, the other side is the complained-of party, and both are nuisance-related persons	b	第2條第1項：申請調處或裁決者，為申請人，他造為相對人。第2項：申請人及相對人，均為公害糾紛之當事人。第3條所定調處申請書應記載當事人姓名等事項，即以本條之稱謂為據。	Article 2 designates the applicant and the respondent, both being parties to the dispute.	draft	9		
ENV-4835	ENV	ENV-95	公害糾紛處理法施行細則	第3條	民國93年11月24日	公害糾紛-申請書	2	調處申請書應記載之事項及委任代理人之要求為何？	應記載當事人之財產狀況、營業收入、納稅紀錄及保險資料等，並由代理人於申請書上按捺指印以資確認	應記載當事人與代理人資料、請求事項、公害糾紛原因事實、供調查之證據及調處委員會名稱等，並提出委任書狀	應記載雙方已進行協商之次數、時間、地點及未達成協議之原因，並提出經公證之協商過程逐字紀錄稿	應記載公害發生地之地籍圖說、環境影響評估書件及主管機關歷次稽查紀錄，並檢附鑑定機構之估價報告	What must a mediation application state, and what is required of an appointed agent?	The parties' financial condition, business income, tax records and insurance details, with the agent affixing a fingerprint to the application	Party and agent details, the claim, the cause and facts of the dispute, evidence for investigation and the committee's name, with a power of attorney filed	The number, times and places of prior negotiations and why no agreement was reached, with a notarized verbatim transcript of the negotiations	Cadastral maps of the nuisance site, environmental impact documents and past inspection records, with an appraisal institution's valuation report	b	第3條第1項列舉調處申請書應記載之八款事項，包括當事人姓名性別出生年月日職業及住居所（法人則為名稱、主事務所及代表人資料）、法定或委任代理人資料、請求事項、公害糾紛原因及事實、供調查之證據、附屬文件名稱及件數、調處委員會名稱、申請年月日，並由申請人簽名。第2項：委任代理人應提出委任書狀。第3項規定於申請裁決準用之。	Article 3 lists the eight required particulars and requires an agent to file a power of attorney.	draft	9		
ENV-4836	ENV	ENV-95	公害糾紛處理法施行細則	第4條	民國93年11月24日	公害糾紛-申請書	2	調處申請書之抄本提出及程式欠缺時，應如何處理？	應按調處委員人數提出抄本；不合程式或有欠缺者，調處委員會應逕行駁回其申請不另通知補正	應按相對人或選定當事人人數提出抄本；不合程式或有欠缺者，調處委員會得通知申請人限期補正	應提出抄本一份送地方法院；不合程式或有欠缺者，應由申請人於調處期日當場以言詞補充說明	應按主管機關指定份數提出抄本；不合程式或有欠缺者，應由調處委員會職權代為補正其內容	How many copies of a mediation application are filed, and what applies if it is defective?	Copies are filed according to the number of mediation committee members; a defective application is dismissed at once with no notice to correct	Copies are filed according to the number of respondents or selected parties; a defective application may be ordered corrected within a set period	One copy is filed with the district court; a defective application is supplemented orally by the applicant at the mediation date itself	Copies are filed in the number designated by the competent authority; a defective application is corrected by the committee on its own motion	b	第4條第1項：調處申請書應按相對人或選定當事人人數，提出抄本。第2項：調處申請書不合程式或有欠缺者，調處委員會得通知申請人於一定期間內補正。第3項：第1項規定於相對人提出答辯書者，準用之。第13條第5款並規定申請書不合程式或有欠缺者，屬申請不合法之情形。	Article 4 requires copies matching the number of respondents or selected parties, with correction ordered for defects.	draft	9		
ENV-4837	ENV	ENV-95	公害糾紛處理法施行細則	第5條	民國93年11月24日	公害糾紛-委員	1	本法第5條第2項所定有關機關代表，其職務有異動時應如何處理？	應報請中央主管機關核准後重新聘任之	應由主任委員逕行遴聘適當人士繼任之	得由各該機關重行改派代表，補足原任期	得由該直轄市長、縣（市）長改聘他人	What applies when an agency representative under Article 5, paragraph 2 of the Act changes position?	A new appointment is made after approval by the central authority	The chairperson directly appoints a suitable person as the successor	The agency may reassign a representative to serve out the original term	The mayor or county magistrate may appoint another person instead	c	第5條：本法第五條第二項所定有關機關代表，職務有異動時，得由各該機關重行改派代表，補足原任期。可對照第7條，調處委員因解聘、辭職、失蹤達一年以上或死亡而出缺者，始由該直轄市長、縣（市）長遴聘適當人士為其繼任人。	Article 5 allows the agency to reassign a representative for the remainder of the term.	draft	9		
ENV-4839	ENV	ENV-95	公害糾紛處理法施行細則	第7條	民國93年11月24日	公害糾紛-委員	1	調處委員出缺時，其繼任人由何人遴聘？	由該直轄市長、縣（市）長遴聘適當人士為其繼任人	由中央主管機關就推薦名單中指定其繼任之人選	由調處委員會主任委員遴聘適當人士為其繼任人	由裁決委員會主任委員指定適當人士為其繼任人	Who appoints a successor when a mediation committee member's seat falls vacant?	The mayor of the special municipality or the county (city) magistrate appoints a suitable successor	The central competent authority designates the successor from a list of recommended candidates	The chairperson of the mediation committee appoints a suitable person as the successor member	The chairperson of the ruling committee designates a suitable person as the successor member	a	第7條：調處委員有前條（第6條）所定解聘、辭職、失蹤達一年以上、死亡等情形之一者，由該直轄市長、縣（市）長遴聘適當人士為其繼任人。第23條第2項並規定第6條、第7條之規定於裁決委員準用之。	Article 7 has the mayor or county (city) magistrate appoint the successor.	draft	9		
ENV-4840	ENV	ENV-95	公害糾紛處理法施行細則	第8條	民國93年11月24日	公害糾紛-委員名簿	2	調處委員名簿應記載何項事項？並應報請何機關備查？	應記載姓名、學歷、出席紀錄、發言內容及評議結果；報請所在地檢察機關及地方議會備查後對外公布	應記載姓名、聘期、酬勞金額、兼職情形及利益衝突聲明；報請行政院及所在地地方法院備查並公告	應記載姓名性別出生年月日及出生地、學經歷、職業及現行職務、專長、任期起訖；報請所在地地方法院及裁決委員會備查	應記載姓名、身分證字號、戶籍地址、財產申報資料及家庭成員；報請中央主管機關及監察機關備查後公開	What must the roster of mediation committee members record, and to whom is it filed?	Name, education, attendance record, statements made and review outcomes; filed with the local prosecutors office and the council and then made public	Name, term, remuneration, concurrent posts and conflict of interest declarations; filed with the Executive Yuan and the district court and announced	Name, sex, date and place of birth, education and experience, occupation and current post, expertise and term; filed with the local district court and the ruling committee	Name, ID number, household address, property declarations and family members; filed with the central competent authority and the control agency and then published	c	第8條第1項：調處委員會應備置調處委員名簿，登錄調處委員並記載姓名性別出生年月日及出生地、學歷及經歷、職業及現行職務、專長、任期起訖年月日等五款事項。第2項：名簿應報請所在地地方法院及裁決委員會備查，委員變動時亦同。第4項：當事人得請求閱覽、抄錄或影印調處委員名簿。	Article 8 lists the five recorded particulars and requires filing with the local district court and the ruling committee.	draft	9		
ENV-4842	ENV	ENV-95	公害糾紛處理法施行細則	第10條	民國93年11月24日	公害糾紛-選定委員	2	當事人就調處委員之選定有何權利？未被選定之委員有何效果？	當事人得聲請主任委員指定委員三人合議調處；未被選定之調處委員應於期日到場列席旁聽	當事人得共同選定委員一人或數人逕行調處；未被選定之調處委員於調處期日得不到場調處	當事人不得參與委員之選定而應由主任委員指派；全體調處委員均應於調處期日到場調處	當事人得各自選定委員一人擔任其代理人；未被選定之調處委員仍應全體到場參與調處程序	What right do the parties have over the selection of mediation members, and what follows for others?	The parties may ask the chairperson to designate three members to decide jointly; members not selected attend the date as observers	The parties may jointly select one or more members to mediate directly; members not selected need not attend the mediation date	The parties may not take part in the selection, which the chairperson makes; all mediation members must attend the mediation date	Each party may select one member as its own representative; members not selected must still all attend and take part in the procedure	b	第10條第1項：當事人得共同選定委員一人或數人逕行調處。第2項：前項選定後，未被選定之調處委員於調處期日，得不到場調處。可對照第11條，指定管轄事件始由裁決委員會主任委員指定委員三人或五人合議決定。	Article 10 lets the parties jointly select members, and unselected members need not attend.	draft	9		
ENV-4843	ENV	ENV-95	公害糾紛處理法施行細則	第11條	民國93年11月24日	公害糾紛-指定管轄	3	申請指定調處委員會管轄者，應如何辦理？由何人以何種方式決定？	應將有關書件送交中央主管機關，由部長指定委員五人或七人，以多數決方式決定其管轄	應將有關書件送交裁決委員會，由主任委員指定委員三人或五人，以合議方式決定其管轄	應將有關書件送交所在地地方法院，由院長指定法官三人，以裁定方式決定其管轄之歸屬	應將有關書件送交行政院，由院長指定政務委員一人，以行政命令方式決定其管轄歸屬	How is an application to designate a competent mediation committee handled, and who decides?	The documents go to the central competent authority, whose minister designates five or seven members to decide by majority	The documents go to the ruling committee, whose chairperson designates three or five members to decide collegially	The documents go to the local district court, whose president designates three judges to decide the matter by ruling	The documents go to the Executive Yuan, whose premier designates one minister to decide by administrative order	b	第11條第1項：依本法第十六條第一項規定申請指定調處委員會管轄者，應將有關書件送交裁決委員會，由主任委員指定委員三人或五人，以合議決定之。第2項：裁決委員會得指定直轄市或縣（市）調處委員會管轄。第3項：為指定後應即通知當事人及受指定之調處委員會。	Article 11 sends the documents to the ruling committee, whose chairperson names three or five members to decide collegially.	draft	9		
ENV-4844	ENV	ENV-95	公害糾紛處理法施行細則	第12條	民國93年11月24日	公害糾紛-迴避	2	調處委員有應迴避情形而不自行迴避，或有偏頗之虞時，應如何處理？	當事人應向所在地地方法院聲請裁定其迴避之事由	該調處委員應自行辭職並由市長另行遴聘繼任人選	主任委員應依職權或依當事人之申請，為迴避之決定	應由調處委員會全體委員以無記名投票方式決議之	What applies where a mediation member does not recuse himself or may be biased?	The party applies to the local district court for a ruling ordering the recusal	The member must resign and the mayor must appoint another person as successor	The chairperson decides on recusal on his own initiative or on a party's application	All members of the mediation committee decide the matter by secret ballot vote	c	第12條：調處委員有本法第十七條所定情形而不自行迴避，或有事實足認其執行職務有偏頗之虞者，主任委員應依職權或依當事人之申請，為迴避之決定。第23條第2項並規定本條規定於裁決委員準用之。	Article 12 has the chairperson decide on recusal ex officio or on a party's application.	draft	9		
ENV-4846	ENV	ENV-95	公害糾紛處理法施行細則	第14條	民國93年11月24日	公害糾紛-移送	2	調處委員會依本法第18條第3項規定為移送時，應如何辦理？	應將有關書件送交受移送之調處委員會，並即通知當事人；其有代理人者亦同	應將有關書件送交所在地地方法院，並由法院逕行通知兩造當事人到場說明	應將有關書件留存原委員會備查，並僅通知申請人而無庸通知相對人知悉	應將有關書件送交裁決委員會轉交，並於移送後三十日內公告其移送之結果	How must a mediation committee effect a transfer under Article 18, paragraph 3 of the Act?	Send the documents to the receiving mediation committee and immediately notify the parties, and their agents where any	Send the documents to the local district court, which then notifies both parties to appear and give their explanations	Keep the documents at the original committee for record, and notify only the applicant without notifying the respondent	Send the documents through the ruling committee, and announce the outcome of the transfer within thirty days after it	a	第14條：調處委員會依本法第十八條第三項規定為移送時，應將有關書件送交受移送之調處委員會，並即通知當事人，其有代理人者，亦同。第13條並列舉本法第十八條第一項所稱申請不合法之九款情形。	Article 14 requires sending the documents to the receiving committee and immediately notifying the parties and their agents.	draft	9		
ENV-4847	ENV	ENV-95	公害糾紛處理法施行細則	第15條	民國93年11月24日	公害糾紛-合併調處	1	多數有共同利益之當事人就同一公害原因分別申請調處者，調處委員會得如何處理？	調處委員會得合併進行調處	調處委員會得逕行駁回其申請	調處委員會應分別進行調處	調處委員會應移送裁決委員會	What may a mediation committee do where multiple parties with a common interest apply separately over the same cause?	The mediation committee may consolidate the mediations	The mediation committee may dismiss the applications outright	The mediation committee must mediate each case separately	The mediation committee must transfer them to the ruling body	a	第15條：多數有共同利益之公害糾紛當事人，就同一公害原因分別申請調處者，調處委員會得合併進行調處。第16條並就依本法第二十條第一項選定當事人之情形，規定調處委員會得不通知未被選定之人於調處期日到場。	Article 15 allows consolidation of mediations arising from the same cause.	draft	9		
ENV-4848	ENV	ENV-95	公害糾紛處理法施行細則	第16條	民國93年11月24日	公害糾紛-選定當事人	2	多數有共同利益之當事人依本法第20條第1項為選定後，其效果為何？	調處委員會仍應通知全體當事人到場，選定之通知於作成之日起即發生效力	調處委員會得不通知未被選定之人到場，選定之通知於送達相對人後發生效力	調處委員會得逕行駁回其選定之申請，選定之通知於公告七日後始發生效力	調處委員會應停止程序俟法院裁定，選定之通知須經法院核定後始發生效力	What follows once parties with a common interest make a selection under Article 20, paragraph 1 of the Act?	The committee must still notify all parties to attend, and the notice of selection takes effect from the day it is made out	The committee need not notify unselected persons to attend, and the notice of selection takes effect on service on the respondent	The committee may dismiss the selection application outright, and the notice takes effect seven days after announcement	The committee must stay the procedure pending a court ruling, and the notice takes effect only after court approval	b	第16條第1項：多數有共同利益之公害糾紛當事人依本法第二十條第一項為選定後，調處委員會得不通知未被選定之人於調處期日到場。第2項：選定之通知，於送達相對人後，發生效力。第3項：被選定之人中有喪失資格者，其他被選定之人仍得為全體申請或進行調處。第4項並得建議或協助再為選定。	Article 16 allows omitting notice to unselected persons, with the selection notice effective on service on the respondent.	draft	9		
ENV-4849	ENV	ENV-95	公害糾紛處理法施行細則	第17條	民國93年11月24日	公害糾紛-調處程序	2	調處程序之進行場所及保密義務規定為何？	應一律於調處委員會辦公處所行之；調處委員及經辦人員得就調處內容對外公開說明其經過	得於調處委員會辦公處所或其他適當場所行之；調處委員及經辦人員除已公開事項外應保守秘密	應於公害發生地之鄉鎮市區公所行之；調處委員及經辦人員應將全部內容公告於機關之網站	得於任一方當事人指定之場所行之；調處委員及經辦人員僅就涉及營業秘密部分負保密義務	Where may mediation be conducted, and what confidentiality duty applies?	It must always be held at the committee's office; members and staff may publicly explain the course of the mediation to outsiders	It may be held at the committee's office or another suitable place; members and staff keep matters confidential except those already public	It must be held at the township or district office of the nuisance site; members and staff must post the full content on the website	It may be held at a place designated by either party; members and staff owe confidentiality only as to trade secrets involved	b	第17條第1項：調處程序，得於調處委員會辦公處所或其他適當之場所行之。第2項：調處委員或經辦調處事務之人，對於調處事件，除已公開之事項外，應保守秘密。第23條第1項並規定第15條至第22條之規定於裁決程序準用之。	Article 17 allows the office or another suitable place and requires confidentiality except for matters already public.	draft	9		
ENV-4850	ENV	ENV-95	公害糾紛處理法施行細則	第18條	民國93年11月24日	公害糾紛-秩序維護	1	調處進行中有人以強暴、脅迫或詐術妨礙調處者，調處委員得如何處理？	調處委員得逕行對該人科處罰鍰並命其離場	調處委員得請求警察機關協助排除，並依法處理	調處委員應報請裁決委員會決定其處理方式	調處委員應立即宣告調處不成立並終結其程序	What may a mediation member do where someone obstructs mediation by violence, threat or deceit?	The member may directly impose an administrative fine on that person and order them to leave	The member may request police assistance to remove the obstruction and handle it according to law	The member must report to the ruling committee for it to decide how the matter is handled	The member must immediately declare the mediation failed and terminate the entire procedure	b	第18條：調處進行中在場之人，如有以強暴、脅迫或詐術進行或妨礙調處，或為其他涉嫌犯罪之行為者，調處委員得請求警察機關協助排除，並依法處理。第24條所定調處不成立之事由，則為相對人明示拒絕調處或一造連續二次無正當理由不到場。	Article 18 allows requesting police assistance and handling the matter according to law.	draft	9		
ENV-4851	ENV	ENV-95	公害糾紛處理法施行細則	第19條	民國93年11月24日	公害糾紛-證據調查	1	調處委員會就證據之調查，有何權限？	僅得就當事人提出之證據為調查，不得依職權另行調查其他證據	應俟兩造當事人合意後始得調查證據，一造反對者即不得調查之	得依職權調查證據，不受當事人提出之證據及請求調查證據之拘束	應委由所在地地方法院代為調查證據，並以法院調查結果為準據	What power does the mediation committee have over the investigation of evidence?	It may investigate only the evidence offered by the parties and may not investigate other evidence on its own motion	It may investigate evidence only once both parties agree, and may not do so where either party objects to it	It may investigate evidence ex officio and is not bound by the evidence offered or investigation requested by the parties	It must have the local district court investigate the evidence and must follow the results of that court investigation	c	第19條：調處委員會得依職權調查證據，不受當事人提出之證據及請求調查證據之拘束。第20條並列舉調查證據時得為之處置；第21條規定主任委員得於調處期日前指定委員一人先行審查申請書或調查證據。	Article 19 allows ex officio investigation, unbound by the parties' offers or requests.	draft	9		
ENV-4852	ENV	ENV-95	公害糾紛處理法施行細則	第20條	民國93年11月24日	公害糾紛-證據調查	2	調處委員會因調查證據之必要，得為下列何種處置？	請當事人或關係人提出文書表冊物件、詢問證人或鑑定人、請有關機關協助提供文書、進行勘驗或鑑定	拘提無正當理由不到場之證人、對拒絕陳述者科處罰鍰、查封當事人之財產、限制當事人出境	搜索當事人之營業處所、扣押相關帳冊憑證、監聽當事人之通訊、命令關係人具保後始得離境	命當事人先行繳納鑑定費用、指定特定鑑定機構、逕行採信一造之陳述、拒絕另一造提出證據	What measures may the mediation committee take when investigating evidence?	Ask parties or others to produce documents and objects, question witnesses or experts, seek agency assistance, and conduct inspection or appraisal	Summon absent witnesses by force, fine those refusing to state, seize the parties' property, and restrict the parties from leaving the country	Search the parties' business premises, impound account books and vouchers, intercept communications, and require bail before departure	Order a party to prepay appraisal fees, designate a particular appraiser, accept one side's statement, and refuse the other's evidence	a	第20條：調處委員會因調查證據之必要，得請當事人或其他關係人提出文書、表冊及物件，聽取當事人之意見、詢問證人或鑑定人或取得其書面意見，請有關機關協助提供有關文書、表冊及物件，以及進行勘驗或鑑定等四款處置。第22條並規定當事人或代理人於調處進行中得請求閱覽、抄錄或影印有關文書表冊及物件。	Article 20 lists production of documents, questioning of witnesses and experts, agency assistance, and inspection or appraisal.	draft	9		
ENV-4853	ENV	ENV-95	公害糾紛處理法施行細則	第21條	民國93年11月24日	公害糾紛-調處準備	1	調處委員會主任委員於調處期日前，得為何種安排？	得指定書記官先行約詢兩造當事人，並於開會時代為陳述其協商結果	得指定委員三人先行作成調處方案，並於開會時逕付表決通過後生效	得委由公害發生地之鄉鎮市公所先行協調，並以協調結果作為調處書	得指定委員一人先行審查調處申請書或調查證據，並於開會時提出意見	What may the chairperson arrange before the mediation date?	Designate a clerk to interview both parties beforehand and to state the results of their negotiation at the meeting	Designate three members to draft a mediation proposal beforehand, to be put to a vote and take effect at the meeting	Commission the township office of the nuisance site to mediate first and use that result as the mediation record	Designate one member to review the application or investigate evidence beforehand and present views at the meeting	d	第21條：調處委員會主任委員得於調處期日前，指定委員一人先行審查調處申請書或調查證據，於開會時提出意見。第9條第1項並規定調處委員會收到調處申請書後應於一個月內訂定調處期日。	Article 21 allows designating one member for advance review or evidence investigation.	draft	9		
ENV-4854	ENV	ENV-95	公害糾紛處理法施行細則	第22條	民國93年11月24日	公害糾紛-閱卷	1	當事人或代理人於調處進行中，就有關文書、表冊及物件有何權利？	僅得請求閱覽，不得抄錄或影印其文書及表冊	應經他造當事人書面同意後始得請求閱覽抄錄	得請求閱覽、抄錄或影印有關之文書、表冊及物件	應俟調處成立並經法院核定後始得請求其影印	What right do parties or agents have over documents and objects during mediation?	They may only request to read them, and may not transcribe or photocopy the documents	They may request access only with the other party's written consent given in advance	They may request to read, transcribe or photocopy the relevant documents, records and objects	They may request photocopies only after mediation succeeds and the court approves it	c	第22條：當事人或代理人於調處進行中，得請求閱覽、抄錄或影印有關文書、表冊及物件。第8條第4項並規定當事人得向調處委員會請求閱覽、抄錄或影印調處委員名簿；第23條第1項規定本條於裁決程序準用之。	Article 22 grants the right to read, transcribe or photocopy relevant documents and objects.	draft	9		
ENV-4855	ENV	ENV-95	公害糾紛處理法施行細則	第23條	民國93年11月24日	公害糾紛-準用	2	本細則有關調處之規定，於裁決程序及裁決委員之準用範圍為何？	第一條至第十條之規定於裁決程序準用；第十一條至第二十條之規定於裁決委員及其主任委員一併準用之	第二十四條至第二十七條之規定於裁決程序準用；第二十八條、第二十九條之規定於裁決委員準用之	全部有關調處之規定於裁決程序一體準用；惟有關調處委員之規定均不得於裁決委員之情形準用	第四條、第九條、第十五條至第二十二條之規定於裁決程序準用；第六條、第七條、第十二條之規定於裁決委員準用	To what extent do the mediation provisions apply mutatis mutandis to ruling procedures and ruling members?	Articles 1 to 10 apply to ruling procedures; Articles 11 to 20 apply to ruling members and their chairperson alike	Articles 24 to 27 apply to ruling procedures; Articles 28 and 29 apply to the members of the ruling committee	All mediation provisions apply wholesale to ruling procedures; none of the provisions on members apply to ruling members	Articles 4, 9 and 15 to 22 apply to ruling procedures; Articles 6, 7 and 12 apply to ruling committee members	d	第23條第1項：第四條、第九條、第十五條至第二十二條之規定，於裁決程序準用之。第2項：第六條、第七條、第十二條之規定，於裁決委員準用之。第3條第3項並規定調處申請書之記載事項於申請裁決準用；第8條第3項規定調處委員名簿規定於裁決委員會準用。	Article 23 applies Articles 4, 9 and 15 to 22 to ruling procedures and Articles 6, 7 and 12 to ruling members.	draft	9		
ENV-4858	ENV	ENV-95	公害糾紛處理法施行細則	第27條	民國93年11月24日	公害糾紛-管轄法院	2	本法第28條第1項、第39條第2項所稱之「管轄法院」，係指何者？	指公害糾紛發生地或損害結果地之管轄地方法院	指相對人事業所在地或其主事務所之管轄法院	指最高法院指定之專業環境事件審理管轄法院	指調處委員會及裁決委員會所在地之管轄地方法院	What is the court of jurisdiction under Article 28, paragraph 1 and Article 39, paragraph 2 of the Act?	The district court having jurisdiction over the place of the nuisance or of the damage	The court having jurisdiction over the respondent enterprise or its principal office	A specialist environmental court designated for such cases by the Supreme Court	The district court having jurisdiction over the seat of the mediation and ruling committees	d	第27條：本法第二十八條第一項、第三十九條第二項所稱之管轄法院，係指調處委員會及裁決委員會所在地之管轄地方法院。第8條第2項並規定調處委員名簿應報請所在地地方法院備查。	Article 27 defines it as the district court where the mediation and ruling committees are seated.	draft	9		
