ENV-0447	ENV	ENV-26	空氣污染防制專責單位或專責人員設置及管理辦法	第2條	民國108年8月6日	空污專責-類別	2	空氣污染防制專責人員分為哪兩類？空氣污染防制專責人員又分為哪兩級？	固定污染源專責人員及移動污染源專責人員；第一級及第二級	室內空氣品質專責人員及噪音防制專責人員；初級及進階級	空氣污染防制專責人員及廢水處理專責人員；高級及初級	空氣污染防制專責人員及健康風險評估專責人員；甲級及乙級	Air pollution control dedicated personnel fall into which two categories, and air pollution control personnel are further graded as:	Stationary source personnel and mobile source personnel; Level 1 and Level 2	Indoor air quality personnel and noise control personnel; basic and advanced	Air pollution control personnel and wastewater treatment personnel; senior and junior	Air pollution control personnel and health risk assessment personnel; Class A and Class B	d	第2條：專責人員指空氣污染防制專責人員及健康風險評估專責人員，應由經中央主管機關訓練合格取得合格證書者擔任。第3條：空氣污染防制專責人員分甲級及乙級；設置等級依空污法第34條公告事項；專責單位至少應包括甲級二人及乙級一人。第4條：同一處所得與廢（污）水處理專責單位合併設置，具雙重資格者得互兼。	Articles 2–4; a dedicated unit needs at least two Class A and one Class B personnel.	active	8		
ENV-1870	ENV	ENV-44	水污染防治法施行細則	第15條	民國107年12月21日	水污細則-刑事告發	3	事業故意將含有害健康物質之廢污水排放於土壤或地面水體超出管制標準，或故意注入地下水體者，主管機關應如何？所稱「注入地下水體」指？	情節輕微者應予以書面警告；廢污水因設施破損自然滲漏而流入地下含水層之情形	得不予處理逕行結案；降雨後地表積水挾帶污染物滲入地下水體或用於澆灌農地	有犯罪嫌疑者應逕行處以罰鍰；利用鑿井注入管線或加壓設施將廢污水灌注至地下水體	有犯罪嫌疑者應向檢察官告發；利用鑿井注入管線或加壓設施將廢污水灌注至地下水體	When an enterprise intentionally discharges wastewater containing health-harmful substances above limits to soil or surface water, or injects it into groundwater, the authority must, and 'injection into groundwater' means:	Issue a written warning for minor cases; wastewater seeping naturally into the aquifer through damaged facilities	Close the case without action; rainwater carrying pollutants soaking into groundwater or used to irrigate farmland	Impose an administrative fine directly; pumping wastewater underground via wells, injection pipes or pressure equipment	Report suspected offenses to the prosecutor; pumping wastewater underground via wells, injection pipes or pressure equipment	d	第15條：事業故意將含有害健康物質廢污水排放於土壤或地面水體超出管制標準或故意注入地下水體而有犯罪嫌疑者應向檢察官告發；故意指明知並有意使其發生或預見發生不違背本意。第16條：注入地下水體指利用鑿井注入管線或加壓設施將廢污水灌注至地下水體；經審查同意之土壤地下水整治產生之水注入者不屬之。第17條：排放於土壤指以管線溝渠桶裝槽車等排入逸散流布於土壤（農業再利用、沼液沼渣肥分、土壤處理許可、不透水布隔離、非常態短時間疏漏除外）。第18條：排放於地面水體指大量排放嚴重影響水質、處理設施功能不足、故障未通報、未遵行停工繼續排放。第22條：一年內指自違反之日起往前回溯至第三百六十五日。第23條：檢舉獎金為實收罰鍰百分之二十。	Articles 15–23.	active	8		
ENV-2113	ENV	ENV-46	廢（污）水處理專責單位或人員設置及管理辦法	第4條	民國110年2月5日	廢水專責-單位員額	2	事業依附表一應設置廢（污）水處理專責單位者，其員額至少應有幾名專責人員？其中甲級幾名？	專責人員三人以上，含甲級二名以上，並由一名甲級人員擔任專責單位主管	專責人員二人以上，含甲級一名以上，並由該甲級人員擔任專責單位主管	專責人員四人以上，含乙級二名以上，並由一名乙級人員擔任專責單位主管	專責人員五人以上，含甲級三名以上，並由負責人自行擔任專責單位主管	An enterprise required to set up a wastewater treatment dedicated unit must staff at least how many dedicated personnel, including how many Class A?	At least three dedicated personnel, including at least two Class A, one of whom heads the unit	At least two dedicated personnel, including at least one Class A, who also heads the unit	At least four dedicated personnel, including at least two Class B, one of whom heads the unit	At least five dedicated personnel, including at least three Class A, headed by the owner	a	第2條：廢（污）水處理專責人員分甲級及乙級，應由經訓練合格取得證書者擔任。第3條：依附表一許可核准廢污水產生量規模、原廢污水所含附表二物質超過放流水標準或違規情事設置；新開發社區專用下水道服務戶數五百戶以下免設。第4條：專責單位員額至少專責人員三人，包括二名以上甲級，並由一名甲級擔任主管。第5條：得與空污專責單位合併設置並互兼。第7條：員工五十人以下者負責人得兼任。	Articles 2–7.	active	8		
ENV-2118	ENV	ENV-46	廢（污）水處理專責單位或人員設置及管理辦法	第9條	民國110年2月5日	廢水專責-代理人	3	事業設置廢（污）水處理專責人員時，代理人設置及更動之規定為何？	應同時設置二名以上代理人，應設專責單位或負責人兼任者至少三名，更動後三十日內重新申請核定	應同時設置一名以上代理人，應設專責單位或負責人兼任者至少二名，更動後十五日內重新申請核定	得視需要設置代理人，應設專責單位者至少一名，更動後七日內向中央主管機關備查即可	應同時設置一名以上代理人，僅限甲級人員擔任，更動後六十日內向直轄市縣市主管機關備查	What are the rules on deputies when appointing wastewater dedicated personnel?	At least two deputies at the same time, at least three where a unit is required or the owner doubles as personnel, and re-filing within 30 days of any change	At least one deputy at the same time, at least two where a unit is required or the owner doubles as personnel, and re-filing within 15 days of any change	Deputies are optional, at least one where a unit is required, and any change is merely reported to the central authority within 7 days	At least one deputy who must be Class A, with changes reported to the local authority within 60 days	b	第9條：應同時設置一名以上代理人；應設置廢污水處理專責單位或負責人兼任專責人員者至少二名；員額超過規定者得扣減同一級別代理人數；代理人應具參加同一級別以上訓練資格；更動應於更動日起十五日內重新申請核定。第10條：申請應檢附合格證書及勞健保查詢同意書等，採網路傳輸。第11條：得由代操作營運機構派任。第12條：取得證書後連續三年未設置者到職翌日起六個月內完成到職訓練。	Articles 9–12.	active	8		
ENV-2123	ENV	ENV-46	廢（污）水處理專責單位或人員設置及管理辦法	第15條	民國110年2月5日	廢水專責-專職	3	下列何種事業或污水下水道系統，其廢（污）水處理專責人員應至少一人專職負責業務？	應設專責單位者、應設甲乙級人員之公共或工業區污水下水道、服務二千戶以上之社區下水道、員工五百人以上者、三年內曾遭停工復工者	應設專責單位者、應設乙級人員之公共或工業區污水下水道、服務一千戶以上之社區下水道、員工一百人以上者、一年內曾遭罰鍰處分者	應設專責單位者、僅應設甲乙級人員之工業區專用下水道、服務三千戶以上之社區下水道、員工八百人以上者、二年內曾遭連續處罰者	應設專責人員者、應設甲級人員之公共或工業區污水下水道、服務五百戶以上之社區下水道、員工三十人以上者、五年內曾遭停業處分者	Which enterprises or sewer systems must have at least one wastewater dedicated person working full-time on the job?	Those requiring a dedicated unit, public or industrial-park sewer systems requiring Class A/B personnel, community sewers serving 2,000+ households, enterprises with 500+ employees, and those resuming after a shutdown within 3 years	Those requiring a dedicated unit, public or industrial-park sewer systems requiring Class B personnel only, community sewers serving 1,000+ households, enterprises with 100+ employees, and those fined once within the past year	Those requiring a dedicated unit, industrial-park sewers alone requiring Class A/B personnel, community sewers serving 3,000+ households, enterprises with 800+ employees, and those under consecutive daily fines within 2 years	Those required to appoint any dedicated personnel, public or industrial-park sewers requiring Class A personnel, community sewers serving 500+ households, enterprises with 30+ employees, and those suspended within 5 years	a	第15條：專責人員應於勞基法工作時間內常駐；應設專責單位之事業或污水下水道系統、應設甲級或乙級人員之公共污水下水道系統及工業區專用污水下水道系統、服務戶數二千戶以上之社區專用污水下水道系統、應設甲乙級人員且員工五百人以上之事業或其他指定地區專用下水道、三年內情節重大遭停工（業）申請復工者，至少一人專職（不得兼任環保法規以外之專責人員或無關工作，負責人兼任者除外）。第16條：半年內累積超過三十日未到職或一年內三次未備請假紀錄者不得繼續設置。	Articles 15–16.	active	8		
ENV-2130	ENV	ENV-46	廢（污）水處理專責單位或人員設置及管理辦法	第22條	民國110年2月5日	廢水專責-業務	2	廢（污）水處理專責人員每日應簽章確認之事項為何？	廢污水收集處理排放管線之每日巡檢紀錄，以及放流口告示牌座標與採樣平台之維護	藥品使用量及污泥產生貯存清運量之每日統計，以及放流水檢測報告結果之適法性	監測連線傳輸設施與主管機關正常連線，以及處理設施重要參數、電度表及排放累計讀數	水污染防治許可證變更展延之申請文件，以及委託檢驗測定機構之採樣紀錄與報告	Which items must wastewater dedicated personnel sign off on every day?	That daily inspection records of the wastewater collection and discharge pipelines are kept, plus upkeep of outlet signboards and sampling platforms	That daily totals of chemical consumption and sludge generation, storage and hauling are compiled, plus the legality of the effluent test report results	That monitoring and data-link facilities stay connected to the authority, plus key treatment parameters, meter readings and cumulative discharge readings	That the documents for permit amendment and renewal are complete, plus the sampling records and reports of the commissioned testing organization	c	第22條：協助釐定收集處理改善並訂定故障應變計畫；協助辦理許可申請及檢測申報並簽章；依許可內容監督操作、簽章確認維修保養、每日簽章確認監測（視）及連線傳輸設施正常連線、每日簽章確認重要參數電度表及排放累計讀數、按次簽章確認藥品使用量及污泥產生貯存清運量並每月統計；監督巡檢管線及放流口採樣平台告示牌水量計測設施並簽章；監督委託檢測機構採樣並告知檢測結果適法性。第23條：不得妨礙參加在職訓練。第24、25條：違反者依水污法第48條第3、4項處罰。	Article 22 (chemical and sludge volumes are signed per batch and totaled monthly; pipelines, outlets and sampling are supervised and signed).	active	8		
ENV-2205	ENV	ENV-48	事業或污水下水道系統排放廢（污）水緊急應變辦法	第4條	民國94年8月26日	廢水緊急應變-通知時限	2	事業排放廢污水於自來水水源等承受水體有嚴重危害之虞時，負責人應於多久內通知用水單位？多久內通知環保主管機關？	三小時內通知受污染水體之用水事業單位或民眾，一小時內通知當地環保主管機關	二小時內通知受污染水體之用水事業單位或民眾，二十四小時內通知當地環保主管機關	三十分鐘內通知受污染水體之用水事業單位或民眾，十二小時內通知中央環保主管機關	一小時內通知受污染水體之用水事業單位或民眾，三小時內通知當地環保主管機關	When a wastewater discharge threatens drinking or irrigation water sources, the responsible person must notify water users within, and the local environmental authority within:	3 hours for the affected water users or residents, 1 hour for the local environmental authority	2 hours for the affected water users or residents, 24 hours for the local environmental authority	30 minutes for the affected water users or residents, 12 hours for the central environmental authority	1 hour for the affected water users or residents, 3 hours for the local environmental authority	d	第2條：適用承受水體為自來水水源、飲用水水源、灌溉渠道用水、漁業養殖用水。第3條：處理設施故障操作異常或意外致排放含有害健康物質、未經處理逕行排放或超過處理貯留能力影響水體用途，或化學物質運作場所災變救災產生大量廢污水直接排放者屬嚴重危害之虞。第4條：應立即停止排放、限制縮小污染範圍、一小時內通知用水事業單位管理單位或直接引用之民眾、三小時內通知當地環保主管機關。	Articles 2–4.	active	8		
ENV-2206	ENV	ENV-48	事業或污水下水道系統排放廢（污）水緊急應變辦法	第5條	民國94年8月26日	廢水緊急應變-執行方法	3	廢污水緊急應變時，對受污染水體之採樣分析應包含哪些項目？頻率為何？	pH、溶氧、化學需氧量、導電度及製程含有之有害健康物質，每四小時一次至承受水體恢復背景值	溫度、溶氧、懸浮固體、總磷及製程含有之大腸桿菌群，每六小時一次連續採樣三日為止	pH、導電度、油脂、氰化物及製程含有之毒性化學物質，每日一次至放流水符合放流水標準	pH、濁度、生化需氧量、氨氮及製程含有之重金屬總量，每二小時一次至主管機關同意停止	During a wastewater emergency, what must be sampled in the affected water body, and how often?	pH, dissolved oxygen, COD, conductivity and health-harmful substances from the process, every 4 hours until background levels return	Temperature, dissolved oxygen, suspended solids, total phosphorus and coliforms from the process, every 6 hours for three days	pH, conductivity, oil and grease, cyanide and toxic chemicals from the process, once a day until the effluent meets the standards	pH, turbidity, BOD, ammonia and total heavy metals from the process, every 2 hours until the authority permits sampling to stop	a	第5條：關閉放流口或設攔截阻隔設施；減少或停止生產；備妥暫時貯存設施否則停止作業；抑止排除異常故障並啟動備份裝置；執行污染控制；對受污染水體立即採樣分析 pH、溶氧、化學需氧量、導電度及製程中有害健康物質；於受影響區域每四小時採樣一次至恢復背景值並提供用水單位；鄰近有下水道者申請緊急納入或委託處理；無法排除者設管線排放於承受水體區域外；污水下水道系統通知納管用戶減少排放；以電話傳真書面通知；化學物質災變設截流收集暫存設施。第7條：屆期不執行由主管機關與目的事業主管機關協助執行。	Articles 5 and 7.	active	8		
ENV-2248	ENV	ENV-49	飲用水管理條例	第5條	民國95年1月27日	飲用水-水源保護區禁止行為	2	在飲用水水源水質保護區或取水口一定距離內，下列何者屬禁止之污染水源水質行為？	經主管機關核准之居民生活必要行為、既有合法建築物使用、公共設施維護、既有排水疏通、消防演練、學校教學活動	河川清淤疏濬、防洪堤防興建、水土保持植生工程、自來水淨水設施設置、水質監測站設置、既有農地翻耕	非法砍伐林木、工業區開發或污染性工廠設立、營利飼養家畜家禽、新社區開發、高爾夫球場興建、土石採取探礦採礦	一般住宅修繕、農民自用小型菜園耕作、原住民部落自然增加之社區、既有道路修補、公園綠地維護、經核准之攤販營業	Which acts are prohibited within drinking water source protection zones or near intakes?	Residents' daily necessities approved by the authority, use of existing legal buildings, maintenance of public facilities, dredging of existing drains, fire drills, and school teaching	River dredging, flood embankment construction, soil conservation planting, installation of water utility treatment facilities, monitoring stations, and tilling of existing farmland	Illegal logging, industrial park development or polluting factories, commercial livestock raising, new community development, golf course construction, and quarrying or mining	Ordinary home repairs, small vegetable plots for farmers' own use, indigenous communities growing naturally, repair of existing roads, upkeep of parks, and approved street vending	c	第5條：保護區或取水口一定距離內不得有非法砍伐林木或開墾土地、工業區開發或污染性工廠設立、核能及能源開發及核廢料儲存處理場所、傾倒棄置垃圾灰渣土石污泥糞尿廢油廢化學品動物屍骸、以營利為目的飼養家畜家禽、新社區開發（原住民部落自然增加除外）、高爾夫球場興修擴建、土石採取及探礦採礦、達環評規模之鐵路捷運港灣機場開發、未經同意之河道變更及道路運動場開發、其他公告禁止行為；第1至9款及第12款為居民生活必要經核准者除外；範圍由地方擬訂報中央核定公告。第20條：違反處十萬元以上一百萬元以下罰鍰並通知禁止。第16條：經通知禁止不遵行者處一年以下有期徒刑得併科六萬元以下罰金。	Articles 5, 16 and 20.	active	8		
ENV-2263	ENV	ENV-49	飲用水管理條例	第16條	民國95年1月27日	飲用水-刑罰	3	違反飲用水管理條例經通知禁止而不遵行者之處罰為何？因而致人於死者？	二年以下有期徒刑、拘役，得併科二十萬元以下罰金；無期徒刑或七年以上有期徒刑，得併科一百萬元以下罰金	六個月以下有期徒刑、拘役，得併科三萬元以下罰金；五年以下有期徒刑，得併科十五萬元以下罰金	一年以下有期徒刑、拘役，得併科六萬元以下罰金；七年以下有期徒刑，得併科三十萬元以下罰金	三年以下有期徒刑、拘役，得併科十萬元以下罰金；十年以下有期徒刑，得併科五十萬元以下罰金	Failing to comply after being ordered to stop under the Drinking Water Management Act is punished by, and if it causes death:	Up to 2 years imprisonment or detention, with a fine up to NT$200,000; life or 7+ years imprisonment with a fine up to NT$1 million	Up to 6 months imprisonment or detention, with a fine up to NT$30,000; up to 5 years imprisonment with a fine up to NT$150,000	Up to 1 year imprisonment or detention, with a fine up to NT$60,000; up to 7 years imprisonment with a fine up to NT$300,000	Up to 3 years imprisonment or detention, with a fine up to NT$100,000; up to 10 years imprisonment with a fine up to NT$500,000	c	第16條：違反第5條第1項經通知禁止不遵行、違反第6條第1項經通知禁止作為水源不遵行、違反第11條第1項經通知禁止供飲用不遵行者，處一年以下有期徒刑拘役得併科六萬元以下罰金；致人於死者七年以下有期徒刑得併科三十萬元以下罰金，致重傷者五年以下有期徒刑得併科十五萬元以下罰金。第18條：使用非公告藥劑處一年以下有期徒刑或六萬元以下罰金。第19條：法人代表人等執行業務犯罪者法人亦科罰金。第24條：飲用水水質違反標準處六萬元以上六十萬元以下罰鍰並限期改善，屆期未改善按日連續處罰，情節重大禁止供飲用。	Articles 16–19 and 24.	active	8		
ENV-2269	ENV	ENV-49	飲用水管理條例	第23條	民國95年1月27日	飲用水-連續供水設備	3	公私場所設置供公眾飲用之連續供水固定設備者，應辦理何事項？違反者處罰為何？	向自來水事業申請核備始得使用、每季更換濾心並拍照存證備查、由專責人員每日檢測餘氯並記錄；違反處三萬元以上三十萬元以下罰鍰並得停止使用	向衛生主管機關申請登記始得使用、每半年清洗水塔並作成紀錄、委託檢測機構每年檢驗水質一次；違反處六萬元以上六十萬元以下罰鍰並按日連續處罰	向地方主管機關申請登記始得使用、依規定維護並作成紀錄揭示、委託許可檢測機構定期採樣檢驗水質並記錄；違反處一萬元以上十萬元以下罰鍰並限期改善	向中央主管機關申請許可證始得使用、每月自行檢驗水質並公告於現場、每年委託檢測機構抽驗一次並記錄；違反處五萬元以上五十萬元以下罰鍰並限期改善	Premises with fixed continuous water dispensers for public drinking must, and violations are fined:	File with the water utility before use, replace filters quarterly with photo records kept, and have dedicated staff test and log residual chlorine daily; NT$30,000–300,000 and possible suspension of use	Register with the health authority before use, clean the water tanks every six months and keep records, and have a testing organization test the water yearly; NT$60,000–600,000 with consecutive daily fines	Register with the local authority before use, maintain and post maintenance records, and have licensed testing organizations sample and test water quality periodically; NT$10,000–100,000 with a correction deadline	Obtain a license from the central authority before use, self-test water monthly and post the results on site, and have a testing organization spot-check once a year; NT$50,000–500,000 with a correction deadline	c	第8條：經公告之公私場所設連續供水固定設備者應向直轄市縣市主管機關申請登記始得使用。第9條：應依規定維護並作成紀錄揭示保存。第12條：應依規定採樣檢驗水質並作成紀錄揭示備查，由取得許可證之環境檢驗測定機構辦理。第22條：未登記處一萬元以上十萬元以下罰鍰並限期補正。第23條：未維護記錄揭示或未採樣檢驗揭示者處一萬元以上十萬元以下罰鍰並限期改善，屆期按次處罰。第25條：規避妨礙拒絕查驗處三萬元以上三十萬元以下。第29條：公告前已設置者六個月內申請登記。	Articles 8–12, 22–25 and 29.	active	8		
ENV-2537	ENV	ENV-52	廢棄物清理法施行細則	第11條	民國108年11月6日	廢清細則-自行清除處理	3	廢棄物清理法第28條所稱事業「自行清除、處理」，包括下列何種情形？	以自有設施清除處理、與鄰近事業共同委託處理機構處理其廢棄物、交由再利用機構再利用並登錄流向（每月申報一次）	以自有設施清除處理、借用其他事業之處理設施處理其廢棄物、以任何車輛自行載運至掩埋場並取得收據（免派員監控）	以自有設施清除處理、委託取得許可之清除機構清除處理其廢棄物、由執行機關代為處理並繳納處理費用（經環保局同意）	以自有設施清除處理、以自有設施合併處理法人所屬各事業之廢棄物、租用合法運輸業車輛清除（隨車派員監控並攜帶員工證明）	'Self-clearance and disposal' by an enterprise under Article 28 of the Waste Disposal Act includes:	Using its own facilities, jointly entrusting a treatment organization together with neighboring enterprises, or sending waste to reuse organizations with flow registration (reported every month)	Using its own facilities, borrowing another enterprise's treatment facilities to treat the waste, or hauling it with any vehicle to a landfill and keeping the receipt (with no escort personnel required)	Using its own facilities, entrusting a licensed clearance organization to clear and treat the waste, or having the executing agency dispose of it upon payment of the treatment fee (with the bureau's consent)	Using its own facilities, jointly handling waste of all enterprises under the same legal person with its own facilities, or renting licensed transport vehicles with an accompanying employee carrying proof	d	第11條：自行清除處理指以自有設施清除處理所產生之事業廢棄物、以自有設施合併清除處理該法人所屬各事業之廢棄物、租用合法運輸業車輛清除（應隨車派員監控管理攜帶員工證明文件，車輛符合貯存清除處理方法及設施標準）、其他經認定者；經執行機關同意委託處理指經直轄市縣市環保局同意；餘裕處理能量指焚化設施可處理量扣除操作保留量（可處理量百分之十）及指定清除地區一般廢棄物處理量後之剩餘。第9條：產生源證明文件為遞送聯單等，處理地點證明為合約影本。	Articles 9 and 11.	active	8		
ENV-2538	ENV	ENV-52	廢棄物清理法施行細則	第12條	民國108年11月6日	廢清細則-清理計畫變更	3	事業廢棄物清理計畫書所載資料異動而未致廢棄物性質改變或數量增加逾百分之多少者，得免辦理變更但應於幾日內申請異動備查？	未逾百分之十者免變更，應於事實發生後十五日內填寫異動申請書報請備查	未逾百分之二十者免變更，應於事實發生後三十日內填寫異動申請書報請備查	未逾百分之五者免變更，應於事實發生後七日內填寫異動申請書報請核准	未逾百分之十五者免變更，應於次年一月底前併同年度申報一併報請備查	Changes to a waste disposal plan that do not alter waste properties or increase quantity by more than what share are exempt from formal amendment but must be filed within:	10%; an alteration application filed for record within 15 days of the change	20%; an alteration application filed for record within 30 days of the change	5%; an alteration application filed for approval within 7 days of the change	15%; filed together with the annual report by the end of January the following year	a	第12條：與事業廢棄物產生清理有關事項變更指新增或改變產品製造過程作業流程處理流程、回收貯存清除處理再利用方法或設施改變、原物料使用量產量營運擴增致廢棄物性質改變或數量增加者；基本資料原物料產品營運資料異動或流程新增改變而未致性質改變或數量增加逾百分之十者免變更，應於事實發生後十五日內填寫異動申請書報請備查；天災重大事故產生之非經常性廢棄物於清理前提出處置計畫書經核准者免變更。第15條：停工停業復工復業前應檢具改善證明及清理計畫書申請核准。第16條：涉製程或設施變更應先申請試車，試車期間三十日為限展延不超過六十日。	Articles 12, 15–16.	active	8		
ENV-2604	ENV	ENV-53	有害事業廢棄物認定標準	第2條、第3條	民國109年2月21日	有害廢棄物-判定順序	2	有害事業廢棄物依何順序判定？列表之有害事業廢棄物包括哪些？	先依事業自行申報、再依檢測機構認定、最後依列表；列表者為易燃性廢棄物、多氯聯苯廢棄物、廢棄容器類廢棄物	先依列表、再依有害特性認定、最後依中央主管機關公告；列表者為製程有害事業廢棄物、混合五金廢料、生物醫療廢棄物	先依中央主管機關公告、再依列表、最後依有害特性認定；列表者為毒性有害廢棄物、腐蝕性廢棄物、反應性廢棄物	先依有害特性認定、再依列表、最後依地方主管機關公告；列表者為溶出毒性廢棄物、戴奧辛廢棄物、石綿及其製品廢棄物	In what order are hazardous industrial wastes determined, and what does the 'listed' category include?	Self-declaration by the enterprise first, then testing organization determination, then the listing; listed wastes are ignitable wastes, PCB wastes and waste containers	Listed first, then hazard-characteristic determination, then central authority announcements; listed wastes are process wastes, mixed metal scrap and biomedical waste	Central authority announcements first, then the listing, then hazard characteristics; listed wastes are toxic hazardous wastes, corrosive wastes and reactive wastes	Hazard characteristics first, then the listing, then local authority announcements; listed wastes are leachate-toxic wastes, dioxin wastes and asbestos product wastes	b	第2條：依序為列表之有害事業廢棄物、有害特性認定之有害事業廢棄物、其他經中央主管機關公告者。第3條：列表者為製程有害事業廢棄物（附表一製程產生）、混合五金廢料（依清理階段危害特性判定，附表二）、生物醫療廢棄物（醫療機構醫事檢驗所生物安全二級以上實驗室等產生附表三所列）。第4條：有害特性認定者為毒性（毒化物第一至三類固液體廢棄物及直接接觸之廢容器）、溶出毒性（TCLP 萃出液超過附表四）、戴奧辛（總毒性當量超過 1.0 ng I-TEQ/g）、多氯聯苯（含量百萬分之五十以上）、腐蝕性、易燃性、反應性、石綿及其製品。	Articles 2–4.	active	8		
ENV-2606	ENV	ENV-53	有害事業廢棄物認定標準	第4條	民國109年2月21日	有害廢棄物-特性數值	3	有害特性認定之腐蝕性事業廢棄物及易燃性事業廢棄物之判定數值為何？	廢液 pH 大於等於 11.0 或小於等於 3.0，或攝氏二十五度對鋼腐蝕速率每年超過 3.5 毫米；廢液閃火點小於攝氏三十八度	廢液 pH 大於等於 12.0 或小於等於 2.5，或攝氏四十度對鋼腐蝕速率每年超過 1.0 毫米；廢液閃火點小於攝氏五十度	廢液 pH 大於等於 12.5 或小於等於 2.0，或攝氏五十五度對鋼腐蝕速率每年超過 6.35 毫米；廢液閃火點小於攝氏六十度	廢液 pH 大於等於 13.0 或小於等於 1.0，或攝氏五十五度對鋁腐蝕速率每年超過 6.35 毫米；廢液閃火點小於攝氏九十三度	The numeric criteria for corrosive and ignitable industrial waste are:	Liquid pH ≥ 11.0 or ≤ 3.0, or steel corrosion above 3.5 mm/year at 25°C; liquid flash point below 38°C	Liquid pH ≥ 12.0 or ≤ 2.5, or steel corrosion above 1.0 mm/year at 40°C; liquid flash point below 50°C	Liquid pH ≥ 12.5 or ≤ 2.0, or steel corrosion above 6.35 mm/year at 55°C; liquid flash point below 60°C	Liquid pH ≥ 13.0 or ≤ 1.0, or aluminum corrosion above 6.35 mm/year at 55°C; liquid flash point below 93°C	c	第4條：腐蝕性指廢液 pH 大於等於 12.5 或小於等於 2.0，或攝氏五十五度時對鋼（S20C）腐蝕速率每年超過 6.35 毫米（固體於溶液狀態亦同）；易燃性指廢液閃火點小於攝氏六十度（乙醇體積濃度小於百分之二十四之酒類廢棄物除外）、固體常溫常壓下因摩擦吸水或自發反應起火、可釋出氧之廢強氧化劑；反應性指常溫常壓易爆炸、與水劇烈反應、含氰化物於 pH 2.0～12.5 產生 250 mg HCN/kg 以上、含硫化物產生 500 mg H₂S/kg 以上；戴奧辛總毒性當量超過 1.0 ng I-TEQ/g；多氯聯苯百萬分之五十以上；石綿含百分之一以上易飛散者。第5條：附表一列表者得檢具文件申請表列排除改列一般事業廢棄物，中間處理後有害性消失者得認定為一般事業廢棄物。	Articles 4–5 (also reactivity, dioxin 1.0 ng I-TEQ/g, PCB 50 ppm, asbestos 1%).	active	8		
ENV-2649	ENV	ENV-55	事業廢棄物清理計畫書審查管理辦法	第4條	民國114年7月10日	清理計畫書-內容	2	事業廢棄物清理計畫書應載明之事項，下列何者正確？	事業基本資料、股東名冊及實收資本額、進口原料報關文件、廢棄物採樣檢測報告、鄰近居民書面同意書、消防安全檢查證明、公共意外責任保險契約	事業基本資料、原物料使用量及產品產量、製程或作業流程、廢棄物種類數量性質及清理方式、廠區配置圖、遷廠停業破產時之清理計畫、有害廢棄物之緊急應變措施	事業基本資料、員工人數及組織系統圖、產品售價及年度營業額、廢棄物委託清理契約影本、環評審查結論全文、清除車輛照片及行照、專責人員在職訓練證明	事業基本資料、廠房建照及使用執照影本、水污及空污許可證影本、廢棄物年度清理預算表、掩埋場地質鑽探報告、清除路線圖、負責人無犯罪紀錄證明	A waste disposal plan must state:	Basic data, the shareholder list and paid-in capital, import customs documents for raw materials, waste sampling and testing reports, written consent from neighboring residents, fire safety certificates, and liability insurance	Basic data, raw material use and output, processes or workflows, waste types/quantities/properties and disposal methods, a site layout, a plan for relocation/closure/bankruptcy, and emergency measures for hazardous waste	Basic data, headcount and organization chart, product prices and annual revenue, copies of waste disposal contracts, the full text of the EIA conclusion, photos and licenses of hauling vehicles, and staff training certificates	Basic data, copies of building and occupancy permits, copies of water and air pollution permits, an annual waste disposal budget, a landfill geological drilling report, hauling route maps, and the owner's clean criminal record	b	第3條：提送時機為新設新提重提變更異動展延，經核准後始得營運。第4條：應載明指定公告事業基本資料、原物料使用量及產品產量或營運狀況、產品製造或使用過程作業流程處理流程、事業廢棄物種類數量物理性質有害特性主要有害成分及清理方式、廠區配置圖、遷廠停歇業宣告破產時之清理計畫、產生有害事業廢棄物者之火災逸散洩漏緊急應變措施、其他指定事項。第5條：以電子簽章電子文件或書面一式二份向審核機關申請，檢附許可登記證明、負責人身分證明、專技人員證明、環評相關內容。第11條之1：申請前須繪製全廠空水廢毒污染流向示意圖。	Articles 3–5 and 11-1.	active	8		
