ENV-1537	ENV	ENV-208	既存固定污染源污染物排放量認可準則	第1條	民國100年6月24日	既存排放量認可-法源	1	既存固定污染源污染物排放量認可準則係依據哪一條文授權訂定？	依空氣污染防制法第八條第五項規定訂定之	依空氣污染防制法第六條第四項規定訂定之	依空氣污染防制法第十二條第三項規定訂定之	依空氣污染防制法第二十一條第二項規定訂定之	Under which provision are the Regulations for Recognition of Pollutant Emissions from Existing Stationary Sources adopted?	Adopted under Article 8, Paragraph 5 of the Air Pollution Control Act	Adopted under Article 6, Paragraph 4 of the Air Pollution Control Act	Adopted under Article 12, Paragraph 3 of the Air Pollution Control Act	Adopted under Article 21, Paragraph 2 of the Air Pollution Control Act	a	第1條：本準則依空氣污染防制法第八條第五項規定訂定。空污法第八條規範總量管制區內固定污染源排放量之認可與交易，第十二條則為分期分區公告實施總量管制之依據，兩者搭配適用。	Article 1: adopted under Article 8(5) of the Air Pollution Control Act.	draft	14		
ENV-2471	ENV	ENV-212	飲用水水源水質或淨水處理改善計畫審核準則	第7條	民國95年7月4日	改善計畫審核-施行	1	飲用水水源水質或淨水處理改善計畫審核準則之施行日期為何？	本準則自發布後三個月施行	本準則自發布後一年施行	本準則自九十六年一月一日施行	本準則自發布日施行	When do these Regulations take effect?	They take effect three months after promulgation	They take effect one year after promulgation	They take effect on January 1 of Year 96 (2007)	They take effect on the date of promulgation	d	第7條：本準則自發布日施行，無另定緩衝期間。	Article 7: effective upon promulgation.	draft	14		
ENV-4613	ENV	ENV-213	氣候變遷風險評估作業準則	第1條	民國114年7月16日	氣候風險評估-法源	1	氣候變遷風險評估作業準則係依據哪一條文授權訂定？	依氣候變遷因應法第十八條第三項規定訂定之	依氣候變遷因應法第二十二條第一項規定訂定之	依氣候變遷因應法第十二條第四項規定訂定之	依氣候變遷因應法第二十八條第二項規定訂定之	Under which provision are the Climate Change Risk Assessment Regulations adopted?	Adopted under Article 18, Paragraph 3 of the Climate Change Response Act	Adopted under Article 22, Paragraph 1 of the Climate Change Response Act	Adopted under Article 12, Paragraph 4 of the Climate Change Response Act	Adopted under Article 28, Paragraph 2 of the Climate Change Response Act	a	第1條：本準則依氣候變遷因應法第十八條第三項規定訂定。氣候法第十八條課予各級政府進行氣候變遷風險評估並據以研擬調適方案之義務，本準則規範其作業程序。	Article 1: adopted under Article 18(3) of the Climate Change Response Act.	draft	14		
ENV-4614	ENV	ENV-213	氣候變遷風險評估作業準則	第2條	民國114年7月16日	氣候風險評估-定義	2	本準則所稱氣候變遷風險評估及衝擊，定義分別為何？	氣候變遷風險評估指以溫室氣體排放清冊推估未來排放趨勢，並考量減量成本、技術可行性及產業競爭力等要素；衝擊指極端天氣、氣候事件對於溫室氣體排放總量所產生之變化	氣候變遷風險評估指對氣候變遷風險進行量化或質化之科學評估，並考量危害度、暴露度及脆弱度等風險要素之關聯影響；衝擊指極端天氣、氣候事件及氣候變遷趨勢對自然、人類系統之影響	氣候變遷風險評估指對氣候變遷風險進行量化之財務評估，並考量保險費率、資產價值及市場波動等要素之關聯；衝擊指自然人為氣候危害事件之嚴重度或其長期之變化趨勢	氣候變遷風險評估指針對高風險地區進行地質與水文之工程調查，並考量降雨強度、地層下陷及土地利用等因素；衝擊指暴露對象於現況與未來風險評估結果間之落差	How are climate change risk assessment and impact defined?	Risk assessment projects future emission trends from the greenhouse gas inventory considering abatement cost, technical feasibility and industrial competitiveness; impact is the change in total greenhouse gas emissions caused by extreme weather	Risk assessment is a quantitative or qualitative scientific assessment of climate risk considering the linked effects of hazard, exposure and vulnerability; impact is the effect of extreme weather, climate events and trends on natural and human systems	Risk assessment is a quantitative financial assessment of climate risk considering insurance rates, asset values and market volatility; impact is the severity or long-term trend of natural or human-induced climate hazard events	Risk assessment is a geological and hydrological engineering survey of high risk areas considering rainfall intensity, land subsidence and land use; impact is the gap between current and future risk assessment results for exposed objects	b	第2條第1、2款：氣候變遷風險評估指對氣候變遷風險進行量化或質化之科學評估，並考量危害度、暴露度及脆弱度等風險要素之關聯影響；衝擊指極端天氣、氣候事件及氣候變遷趨勢對於自然、人類系統之影響，即氣候危害及暴露對象交互作用後所衍生之後果。	Article 2(1)-(2): scientific assessment of hazard, exposure and vulnerability; impact on natural and human systems.	draft	14		
ENV-4615	ENV	ENV-213	氣候變遷風險評估作業準則	第2條	民國114年7月16日	氣候風險評估-定義	2	本準則所稱危害度、暴露度及脆弱度之定義分別為何？	危害度指自然或人為導致之氣候危害事件嚴重度或變化趨勢；暴露度指實際或可能受衝擊之暴露對象存在之規模或程度；脆弱度指暴露對象易受負面影響之程度，含敏感、易致受損及缺乏調適能力	危害度指自然或人為導致之氣候危害事件嚴重度或變化趨勢；暴露度指暴露對象缺乏應對與調適之能力程度；脆弱度指設定一致氣候情境後所進行之衝擊模擬與風險評估結果之落差	危害度指極端天氣對於自然及人類系統所衍生之後果；暴露度指高暴露度、高脆弱度且易受氣候危害影響之地理空間範圍；脆弱度指阻礙調適行動規劃或實施成效之各項因素	危害度指暴露對象易受負面影響之敏感程度與易致受損程度；暴露度指氣候危害事件發生之頻率與強度變化趨勢；脆弱度指實際或可能受到氣候衝擊之暴露對象存在之規模或其程度	How are hazard, exposure and vulnerability defined?	Hazard is the severity or trend of natural or human-induced climate hazard events; exposure is the scale or extent of objects actually or potentially affected; vulnerability is the degree of susceptibility, including sensitivity, damage propensity and lack of adaptive capacity	Hazard is the severity or trend of natural or human-induced climate hazard events; exposure is the degree to which objects lack response and adaptive capacity; vulnerability is the gap between impact simulation and risk assessment results under a set scenario	Hazard is the consequence of extreme weather for natural and human systems; exposure is the geographic area with high exposure, high vulnerability and susceptibility to hazards; vulnerability is the set of factors obstructing adaptation planning or its effectiveness	Hazard is the sensitivity and damage propensity of exposed objects to negative effects; exposure is the frequency and intensity trend of climate hazard events; vulnerability is the scale or extent of objects actually or potentially affected by climate impacts	a	第2條第3至5款：危害度指自然或人為導致之氣候危害事件嚴重度或變化趨勢，可能加劇暴露對象之不利影響；暴露度指實際或可能受衝擊之暴露對象存在之規模或程度；脆弱度指暴露對象易受負面影響之程度，包括敏感程度、易致受損程度及缺乏應對、調適之能力。	Article 2(3)-(5): hazard severity, scale of exposed objects, and degree of susceptibility.	draft	14		
ENV-4616	ENV	ENV-213	氣候變遷風險評估作業準則	第2條	民國114年7月16日	氣候風險評估-定義	3	本準則所稱調適應用情境、調適差距及高風險地區之定義分別為何？	調適應用情境指為助各級政府執行風險評估而設定一致之氣候情境；調適差距指評估暴露對象於現況與未來風險評估結果之落差；高風險地區指高暴露度、高脆弱度及易受氣候危害影響之地理空間範圍	調適應用情境指依當期氣候變遷科學報告所推估之溫升幅度區間；調適差距指各級政府調適預算編列與實際支出之差額；高風險地區指經中央主管機關公告應優先辦理環境影響評估之地區	調適應用情境指極端天氣及氣候事件對自然與人類系統之後果；調適差距指暴露對象敏感程度與易致受損程度之差異；高風險地區指氣候危害事件嚴重度或變化趨勢達一定門檻之行政區域	調適應用情境指可應用於降低調適差距且具氣候調適之策略措施及行動；調適差距指阻礙調適行動規劃或實施之因素；高風險地區指實際或可能受衝擊之暴露對象存在之規模或程度所及範圍	How are adaptation application scenario, adaptation gap and high risk area defined?	The scenario is a consistent climate scenario set to help governments assess risk; the gap is the difference between current and future risk assessment results for exposed objects; a high risk area is an area of high exposure, high vulnerability and hazard susceptibility	The scenario is the warming range projected in the current climate change science report; the gap is the difference between budgeted and actual adaptation spending by governments; a high risk area is an area announced by the central authority as requiring priority EIA	The scenario is the consequence of extreme weather and climate events for natural and human systems; the gap is the difference between sensitivity and damage propensity of exposed objects; a high risk area is a district whose hazard severity exceeds a set threshold	The scenario is the set of strategies, measures and actions usable to reduce the adaptation gap; the gap is the set of factors obstructing adaptation planning or implementation; a high risk area is the scale or extent of objects actually or potentially affected	a	第2條第6至8款：調適應用情境指為有助各級政府執行氣候變遷風險評估，設定一致之氣候情境，就各易受氣候變遷衝擊領域進行衝擊模擬、風險評估及調適規劃；調適差距指評估暴露對象於現況與未來氣候變遷風險評估結果之落差；高風險地區指高暴露度、高脆弱度及易受氣候危害影響之地理空間範圍。	Article 2(6)-(8): consistent climate scenario, gap between current and future results, and high exposure and vulnerability areas.	draft	14		
ENV-4617	ENV	ENV-213	氣候變遷風險評估作業準則	第2條	民國114年7月16日	氣候風險評估-定義	2	本準則所稱調適選項與調適障礙之定義分別為何？	調適選項指可應用於降低調適差距且具氣候調適之策略、措施及行動；調適障礙指阻礙調適行動規劃、實施或降低其成效之因素，可能涉及物理、生態、技術、經濟、社會、文化、制度、治理或資訊等面向	調適選項指為助各級政府執行風險評估而設定之一致氣候情境；調適障礙指評估暴露對象於現況與未來氣候變遷風險評估結果之落差，並涉及物理、生態、技術、經濟或治理等各項面向	調適選項指政府依當期氣候變遷科學報告所編列之調適預算項目；調適障礙指暴露對象易受負面影響之程度，包括敏感程度、易致受損程度及缺乏應對與調適能力等各面向之情形	調適選項指高暴露度、高脆弱度且易受氣候危害影響之地理空間範圍；調適障礙指自然或人為導致之氣候危害事件嚴重度或其變化趨勢，可能加劇暴露對象所承受之各種不利影響	How are adaptation option and adaptation barrier defined?	An adaptation option is a strategy, measure or action usable to reduce the adaptation gap; a barrier is a factor obstructing adaptation planning or implementation or reducing its effectiveness, spanning physical, ecological, technical, economic, social, cultural, institutional, governance or information aspects	An adaptation option is the consistent climate scenario set to help governments perform risk assessment; a barrier is the difference between current and future climate risk assessment results for exposed objects, spanning physical, ecological, technical, economic, social, cultural and governance aspects	An adaptation option is a budget item compiled by government under the current climate change science report; a barrier is the degree of susceptibility of exposed objects, including sensitivity, damage propensity and lack of response and adaptive capacity	An adaptation option is the geographic area with high exposure, high vulnerability and susceptibility to climate hazards; a barrier is the severity or trend of natural or human-induced climate hazard events that may aggravate the adverse effects on exposed objects	a	第2條第9、10款：調適選項指可應用於降低調適差距且具氣候調適之策略、措施及行動；調適障礙指阻礙調適行動規劃、實施或降低其成效之因素，可能涉及物理、生態、技術、經濟、社會、文化、制度、治理或資訊等面向。第11條第3款要求彙整執行過程之調適障礙並提出解決方案。	Article 2(9)-(10): options reduce the adaptation gap; barriers obstruct planning, implementation or effectiveness.	draft	14		
ENV-4618	ENV	ENV-213	氣候變遷風險評估作業準則	第3條	民國114年7月16日	氣候風險評估-科學報告	1	各級政府規劃、執行調適方案時，應依本準則使用何種資料進行氣候變遷風險評估？	應使用環境影響評估審查結論進行風險評估作業	應使用氣候變遷科學報告進行氣候變遷風險評估	應使用國家溫室氣體排放清冊進行風險評估作業	應使用災害潛勢地圖及保險理賠統計進行評估	What material must governments use when performing climate change risk assessment?	They must use environmental impact assessment review conclusions for the assessment	They must use the climate change science report for the risk assessment	They must use the national greenhouse gas emission inventory for the assessment	They must use disaster potential maps and insurance claim statistics for the assessment	b	第3條：各級政府規劃、執行調適方案時，應依本準則規定使用氣候變遷科學報告進行氣候變遷風險評估；第7條第1款及第11條第4款並要求使用當期科學報告並參採最新國內外研究。	Article 3: the climate change science report must be used.	draft	14		
ENV-4619	ENV	ENV-213	氣候變遷風險評估作業準則	第4條	民國114年7月16日	氣候風險評估-辦理事項	1	各級政府辦理氣候變遷風險評估，應包括哪些事項？	應包括盤點溫室氣體排放源、訂定減量目標、查核減量執行成效三項	應包括界定範疇、辦理環境影響評估、公告高風險地區禁建範圍三項	應包括界定範疇、檢視資源及氣候衝擊現況、評估未來氣候變遷風險三項	應包括編列調適預算、辦理民眾意見調查、公布年度調適白皮書三項	What must a government's climate change risk assessment cover?	Inventorying greenhouse gas sources, setting reduction targets, and auditing reduction performance	Defining the scope, conducting environmental impact assessment, and announcing building bans in high risk areas	Defining the scope, reviewing resources and current climate impacts, and assessing future climate risk	Budgeting for adaptation, surveying public opinion, and publishing an annual adaptation white paper	c	第4條：各級政府辦理氣候變遷風險評估，應包括界定範疇、檢視資源及氣候衝擊現況、評估未來氣候變遷風險三事項，其具體作法分別規定於第5條至第7條。	Article 4: scope definition, review of resources and current impacts, and future risk assessment.	draft	14		
ENV-4620	ENV	ENV-213	氣候變遷風險評估作業準則	第5條	民國114年7月16日	氣候風險評估-界定範疇	2	各級政府執行界定範疇時，應辦理哪些事項？	確認轄區內溫室氣體排放大戶名單及其排放量；評估各該事業之減量潛力與成本；邀集有關機關、學者、專家、民間團體共同核定各事業之排放額度上限	確認易受氣候變遷影響對象、對應業務範疇及權責機關；評估其氣候危害類型與可能受影響之時間、空間尺度及範圍；邀集有關機關、學者、專家、民間團體共同界定評估範疇	確認易受氣候變遷影響對象、對應業務範疇及權責機關；評估其保險投保比率與資產價值；由權責機關首長逕行核定評估範疇並函報中央主管機關備查後公告	確認高風險地區之地理界線及土地使用現況；評估其開發強度與人口密度變化；邀集有關機關、學者、專家、民間團體共同檢討土地使用分區管制計畫	What must be done when defining the assessment scope?	Identify major greenhouse gas emitters and their emissions; assess their reduction potential and cost; convene agencies, scholars, experts and civil groups to set emission caps for each	Identify climate-sensitive objects, their business scope and responsible agencies; assess hazard types and the time and spatial scale affected; convene agencies, scholars, experts and civil groups to define the scope	Identify climate-sensitive objects, their business scope and responsible agencies; assess their insurance coverage and asset values; have the agency head approve the scope and file it with the central authority for record	Identify the boundaries and land use of high risk areas; assess development intensity and population density change; convene agencies, scholars, experts and civil groups to review zoning controls	b	第5條：界定範疇應辦理確認易受氣候變遷影響對象、對應之業務範疇及權責機關；評估該對象之氣候危害類型、可能受影響之時間、空間尺度及範圍；並邀集有關機關、學者、專家、民間團體共同界定評估範疇。	Article 5: identify objects and agencies, assess hazard types and scales, and convene stakeholders.	draft	14		
ENV-4621	ENV	ENV-213	氣候變遷風險評估作業準則	第6條	民國114年7月16日	氣候風險評估-資源盤點	2	各級政府執行檢視資源及氣候衝擊現況時，就資源盤點應辦理何事項？	盤點權責機關已完成之溫室氣體減量措施及其減量績效，並與國際同級城市進行標竿比較，作為調適選項優先順序與經費核撥之依據	盤點權責機關轄下所有公有建築物及公共設施之耐震能力、使用年限與維護費用，並據以編列未來十年之公共工程改建與補強預算及施工期程	盤點權責機關及易受氣候變遷影響對象之可掌握資源，包括知識、技術、人力、財務等能力建構情形，及可投入風險評估及調適計畫等調適管理機制之資源	盤點易受氣候變遷影響對象之營業額、就業人數及產值占比，並依產業別排序，作為調適資源分配與租稅減免優惠核給之唯一衡量依據	What does the resource inventory step require?	Inventory the greenhouse gas reduction measures already completed and benchmark them against peer cities as the basis for prioritizing adaptation options and funding	Inventory the seismic capacity, service life and maintenance cost of all public buildings and facilities, and budget public works reconstruction and reinforcement for the coming decade	Inventory the resources of responsible agencies and climate-sensitive objects, including knowledge, technology, manpower and financial capacity building, and resources for adaptation management	Inventory the turnover, employment and output share of climate-sensitive objects and rank them by industry as the sole basis for allocating adaptation resources and tax relief	c	第6條第1款：應盤點權責機關及易受氣候變遷影響對象之可掌握資源，包括權責機關之知識、技術、人力、財務等能力建構情形，及可投入有關氣候變遷風險評估及調適計畫等調適管理機制之資源。	Article 6(1): inventory capacity building and resources for adaptation management.	draft	14		
ENV-4622	ENV	ENV-213	氣候變遷風險評估作業準則	第6條	民國114年7月16日	氣候風險評估-衝擊現況	2	檢視氣候衝擊現況之評估項目與方法規劃，依本準則應如何辦理？	評估項目包括降雨量、氣溫及海平面高度，評估結果應含未來百年之推估數值區間；並規劃以問卷調查方式取代質化與量化之衝擊評估方法並公開結果	評估項目包括排放量、減量率及碳費負擔，評估結果應含各排放源之減量潛力排序；並規劃由中央主管機關統一指定之量化衝擊評估方法供各級政府適用	評估項目包括危害度、暴露度及調適差距，評估結果應含高風險地區之禁限建範圍；並規劃委由民間顧問公司採用國際通用模式辦理質化衝擊評估作業	評估項目包括危害度、暴露度及脆弱度，評估結果應含易受影響對象之影響程度或空間分布；並規劃權責機關及影響對象屬性之質化、量化或綜合之衝擊評估方法	What items and methods apply when reviewing current climate impacts?	Assessment items are rainfall, temperature and sea level, with results giving projected ranges for the coming century; questionnaires replace qualitative and quantitative impact methods	Assessment items are emissions, reduction rates and carbon fee burden, with results ranking reduction potential; a uniform quantitative method designated by the central authority applies	Assessment items are hazard, exposure and the adaptation gap, with results showing building bans in high risk areas; qualitative assessment is outsourced to consultants using international models	Assessment items are hazard, exposure and vulnerability, with results showing the degree of effect or spatial distribution; qualitative, quantitative or combined impact methods are planned by attribute	d	第6條第2、3款：評估氣候衝擊現況之評估項目包括危害度、暴露度及脆弱度，評估結果應含易受氣候變遷影響對象之影響程度或其空間分布情形；並應規劃權責機關及易受影響對象屬性之質化、量化或綜合之衝擊評估方法。	Article 6(2)-(3): hazard, exposure and vulnerability, plus qualitative or quantitative methods.	draft	14		
ENV-4623	ENV	ENV-213	氣候變遷風險評估作業準則	第7條	民國114年7月16日	氣候風險評估-未來風險	3	各級政府執行評估未來氣候變遷風險時，應如何使用科學資訊並進行評估？	應使用當期氣候變遷科學報告並參採最新國內外科學研究機構及政府報告，以歷史平均氣候值評估過去衝擊；並依中央主管機關公告之名單指認高風險地區範圍	應使用發布逾五年之氣候變遷科學報告並參採產業公會意見，以歷史災害紀錄評估未來衝擊或風險；並依環境影響評估審查結論辨識調適差距或指認高風險地區	應使用中央主管機關指定之單一氣候模式並排除國外研究成果，以調適應用情境評估未來衝擊；並由權責機關逕行公告調適差距與高風險地區之範圍	應使用當期氣候變遷科學報告並參採最新國內外科學研究機構及政府報告，以調適應用情境評估未來衝擊或風險；並依前條評估結果及方法辨識調適差距或指認高風險地區	How must future climate risk be assessed?	Use the current climate science report and the latest domestic and foreign research and government reports, assess past impacts using historical climate averages, then designate high risk areas from a list announced by the central authority	Use a climate science report over five years old and industry association views, assess future impacts from historical disaster records, then identify the gap or high risk areas from EIA review conclusions	Use a single climate model designated by the central authority and exclude foreign research, assess future impacts under adaptation scenarios, then have the responsible agency announce the gap and high risk areas	Use the current climate science report and the latest domestic and foreign research and government reports, assess future impacts under adaptation scenarios, then identify the adaptation gap or high risk areas from the prior results and methods	d	第7條第1、2款：應使用當期氣候變遷科學報告，並參採最新國內外科學研究機構及政府單位之氣候變遷科學資訊與知識相關報告及建議，以調適應用情境評估未來衝擊或風險；並依第6條第2款評估結果及第3款評估方法進行未來風險評估，辨識調適差距或指認高風險地區。	Article 7(1)-(2): current science report, adaptation scenarios, identification of gaps and high risk areas.	draft	14		
ENV-4624	ENV	ENV-213	氣候變遷風險評估作業準則	第7條	民國114年7月16日	氣候風險評估-合理性檢視	2	調適差距之辨識或高風險地區之指認，其合理性應如何檢視？	應委由地方民意機關審議通過後公告，並得排除有關機關與民間團體之意見參與	應邀集有關機關、學者、專家、民間團體，共同檢視調適差距或指認高風險地區之合理性	應報請中央主管機關委託之學術機構，逐案覆核調適差距及高風險地區指認之合理性	應由權責機關首長召開內部會議自行核定，並於核定後函送中央主管機關備查即可	How is the reasonableness of the identified gap or high risk areas reviewed?	The local council must approve and announce it, excluding input from agencies and civil groups	Relevant agencies, scholars, experts and civil groups are convened to jointly review the reasonableness	An academic institution commissioned by the central authority reviews each identification case by case	The agency head approves it at an internal meeting and merely files it with the central authority	b	第7條第3款：應邀集有關機關、學者、專家、民間團體，共同檢視調適差距或指認高風險地區之合理性；此與第5條第3款共同界定評估範疇之外部參與要求相呼應。	Article 7(3): joint review by agencies, scholars, experts and civil groups.	draft	14		
ENV-4625	ENV	ENV-213	氣候變遷風險評估作業準則	第8條	民國114年7月16日	氣候風險評估-調適推動	1	各級政府進行氣候變遷風險評估後，研擬、推動調適方案及策略時應辦理哪些事項？	應辦理氣候變遷科學報告編撰、氣象觀測站設置及災害預警系統維運等三項工作	應辦理高風險地區土地徵收、建築物拆除補償、居民安置與遷村作業等三項工作	應辦理溫室氣體盤查登錄、排放額度核配、碳費徵收與稽核等三項配套管制作業	應辦理調適選項規劃及綜整決策、推動或執行調適選項、檢討或修正調適選項三項	What must governments do when formulating and promoting adaptation programs after the assessment?	Compile the climate change science report, install weather stations, and operate disaster warning systems	Expropriate land in high risk areas, compensate for building demolition, and resettle or relocate residents	Conduct greenhouse gas inventory registration, allocate emission allowances, and levy and audit carbon fees	Plan and integrate decisions on adaptation options, promote or implement the options, and review or revise the options	d	第8條：各級政府進行風險評估後，於研擬、推動調適方案及策略時，應辦理調適選項規劃及綜整決策、推動或執行調適選項、檢討或修正調適選項；其原則分別規定於第9條至第11條。	Article 8: planning and integration, implementation, and review or revision of adaptation options.	draft	14		
ENV-4626	ENV	ENV-213	氣候變遷風險評估作業準則	第9條	民國114年7月16日	氣候風險評估-調適選項規劃	2	各級政府執行調適選項規劃及綜整決策之原則為何？	以降低調適差距為目標擬訂調適選項及推動期程；評估選項之有效性、可行性及可能負面影響；評估優先執行之調適選項；並得評估附加效益及參考各界意見	以達成國際承諾指標為目標擬訂調適選項及期程；評估選項之國際評比效果與宣傳價值；評估優先執行之選項；並應由行政院統一核定推動順序	以降低溫室氣體排放量為目標擬訂減量選項及期程；評估選項之減量成本效益與技術成熟度；評估優先執行之減量選項；並應報請中央主管機關逐案核定	以維持地方財政平衡為目標擬訂調適選項及期程；評估選項之預算需求與人力配置；評估優先執行之調適選項；並得排除民間團體與專家學者之參與	What principles govern the planning and integrated decision-making on adaptation options?	Set options and schedules aimed at reducing the adaptation gap; assess effectiveness, feasibility and possible adverse effects; assess priority options; co-benefits and stakeholder views may also be considered	Set options and schedules aimed at meeting international pledges; assess international ranking effects and publicity value; assess priority options; the Executive Yuan sets the order	Set reduction options and schedules aimed at cutting greenhouse gases; assess abatement cost-effectiveness and technical maturity; assess priority options; each must be approved by the central authority	Set options and schedules aimed at keeping local finances balanced; assess budget needs and staffing; assess priority options; participation by civil groups and experts may be excluded	a	第9條第1項：調適選項規劃及綜整決策之原則為以降低調適差距為目標擬訂調適選項及推動期程、評估調適選項之有效性、可行性及可能之負面影響、評估優先執行之調適選項。第2、3項另定得評估附加效益及參考有關機關、學者、專家及民間團體意見。	Article 9: reduce the adaptation gap, assess effectiveness and feasibility, and prioritize options.	draft	14		
ENV-4627	ENV	ENV-213	氣候變遷風險評估作業準則	第10條	民國114年7月16日	氣候風險評估-推動執行	2	各級政府推動或執行調適選項之原則為何？	調適選項與國際標準之接軌程度；建立碳排放減量指標作為執行成效依據；無法建立指標者應停止執行該調適選項並重新辦理風險評估	調適選項推動期程之符合程度；建立量化評估指標作為執行成效依據；無法建立指標者得透過訪談相關團體、諮詢專家等方式協助檢視執行成效	調適選項所涉土地取得之完成比率；建立民意支持度調查作為執行成效依據；無法建立指標者應由中央主管機關逕行代為執行該調適選項	調適選項推動經費之執行率高低；建立質化描述作為執行成效之唯一依據；無法完成者得逕行展延期程並免報請權責機關核定或對外說明	What principles govern promoting or implementing adaptation options?	Alignment of the option with international standards; carbon reduction indicators as the basis for performance; where indicators cannot be set, the option stops and reassessment is required	Conformity with the option's schedule; quantitative indicators as the basis for evaluating results; where indicators cannot be set, interviews with groups and expert consultation help review performance	The completion rate of land acquisition for the option; public support surveys as the basis for performance; where indicators cannot be set, the central authority implements the option instead	The budget execution rate of the option; qualitative description as the sole basis for performance; where it cannot be completed, the schedule may be extended without approval or explanation	b	第10條：推動或執行調適選項之原則包括調適選項推動期程之符合程度、建立量化評估指標作為評估調適選項或計畫執行成效之依據；無法建立指標者，得透過訪談相關團體、諮詢專家等方式協助檢視調適執行成效。	Article 10: schedule conformity, quantitative indicators, and interviews or expert consultation as a fallback.	draft	14		
ENV-4628	ENV	ENV-213	氣候變遷風險評估作業準則	第11條	民國114年7月16日	氣候風險評估-檢討修正	3	各級政府檢討或修正調適選項之原則包括哪些？	降低調適差距之執行情形；評估跨領域調適策略、政策或計畫之潛在正負面影響；彙整調適障礙並提出未來解決方案；使用當期科學報告滾動進行風險評估作為修正依據	降低災害發生頻率之執行情形；評估工程設施耐災標準之提升幅度；彙整施工障礙並提出加速方案；使用工程驗收報告滾動檢討設計標準作為修正之依據	降低調適經費支出之執行情形；評估跨部門預算排擠之潛在影響；彙整財務缺口並提出增稅方案；使用前期決算數據滾動編列預算作為調適選項修正之依據	降低溫室氣體排放量之執行情形；評估各排放源減量措施之成本效益；彙整減量障礙並提出補助方案；使用歷史排放清冊滾動檢討排放額度作為修正之依據	What principles govern reviewing or revising adaptation options?	Progress in closing the adaptation gap; potential positive and negative effects of cross-sector strategies, policies or plans; compiled barriers with future solutions; rolling reassessment using the current science report	Progress in cutting disaster frequency; the extent to which structural resilience standards rise; compiled construction barriers with acceleration plans; rolling review of design standards using acceptance reports	Progress in cutting adaptation spending; potential crowding-out effects across departments; compiled funding gaps with tax increase proposals; rolling budgeting using previous final accounts data	Progress in cutting greenhouse gases; cost-effectiveness of reduction measures at each source; compiled reduction barriers with subsidy schemes; rolling review of allowances using historical inventories	a	第11條：檢討或修正調適選項之原則包括降低調適差距之執行情形、評估跨領域調適策略政策或計畫之潛在正負面影響、彙整執行過程之調適障礙並提出未來解決方案，以及使用當期氣候變遷科學報告並參採最新國內外研究，滾動進行氣候變遷風險評估作為修正依據。	Article 11: gap-closing progress, cross-sector effects, barriers and solutions, and rolling reassessment.	draft	14		
ENV-4629	ENV	ENV-213	氣候變遷風險評估作業準則	第12條	民國114年7月16日	氣候風險評估-施行	1	氣候變遷風險評估作業準則之施行日期為何？	本準則自發布日施行	本準則自一百十五年一月一日施行	本準則自發布後三個月施行	本準則自發布後一年施行	When do these Regulations take effect?	They take effect on the date of promulgation	They take effect on January 1 of Year 115 (2026)	They take effect three months after promulgation	They take effect one year after promulgation	a	第12條：本準則自發布日施行，無另定緩衝期間。	Article 12: effective upon promulgation.	draft	14		
ENV-4076	ENV	ENV-214	環境用藥原體轉讓申請作業準則	第1條	民國95年7月4日	原體轉讓-法源	1	環境用藥原體轉讓申請作業準則係依據哪一條文授權訂定？	依環境用藥管理法第十一條第二項規定訂定之	依環境用藥管理法第十五條第二項規定訂定之	依環境用藥管理法第二十四條第三項規定訂定之	依環境用藥管理法第十六條第一項規定訂定之	Under which provision are the Regulations on applications for transferring environmental agent active ingredients adopted?	Adopted under Article 11, Paragraph 2 of the Environmental Agents Control Act	Adopted under Article 15, Paragraph 2 of the Environmental Agents Control Act	Adopted under Article 24, Paragraph 3 of the Environmental Agents Control Act	Adopted under Article 16, Paragraph 1 of the Environmental Agents Control Act	b	第1條：本準則依環境用藥管理法第十五條第二項規定訂定，規範環境用藥原體轉讓之受讓人資格、申請方式與期限。	Article 1: adopted under Article 15(2) of the Environmental Agents Control Act.	draft	14		
ENV-4077	ENV	ENV-214	環境用藥原體轉讓申請作業準則	第2條	民國95年7月4日	原體轉讓-受讓人資格	2	環境用藥原體轉讓之受讓人，以何者為限？	以環境用藥病媒防治業或領有任一環境用藥販賣許可執照之環境用藥販賣業者為限	以領有工廠登記證之化學品製造業或經公會推薦之環境用藥輸入業者為限	以環境用藥製造業或領有與該原體相同劑型之環境用藥輸入許可證之輸入業者為限	以環境用藥販賣業或領有與該原體相同有效成分之環境用藥製造許可證之環境用藥製造業者為限	Who may receive a transferred environmental agent active ingredient?	Only a vector control business, or a vendor holding any environmental agent sales licence	Only a chemical manufacturer with a factory registration, or an importer recommended by the trade association	Only a manufacturer, or an importer holding an import licence for an agent of the same dosage form	Only an environmental agent vendor, or a manufacturer holding a manufacturing licence for the same active ingredient	d	第2條：原體轉讓之受讓人以環境用藥販賣業，或領有與該原體相同有效成分之環境用藥製造許可證之環境用藥製造業者為限，以確保受讓人具備合法使用該原體之資格。	Article 2: an environmental agent vendor or a manufacturer licensed for the same active ingredient.	draft	14		
